time,Open,High,Low,Close,tick_volume,spread,real_volume,MA,ATR
1764258900,4155.59,4155.7,4153.45,4154.81,1260,18,0,4154.773,3.1364285714284312
1764259200,4154.79,4155.83,4153.63,4155.63,1241,18,0,4154.654,3.164999999999899
1764259500,4155.62,4158.63,4154.45,4157.68,1453,18,0,4154.711499999999,3.1121428571427714
1764259800,4157.73,4158.61,4157.16,4158.22,1205,18,0,4154.7660000000005,2.9457142857142053
1764260100,4158.36,4159.25,4157.44,4158.98,1040,18,0,4154.883,2.7707142857142832
1764260400,4158.97,4160.49,4157.85,4159.26,1641,18,0,4155.066000000001,2.719999999999995
1764260700,4159.25,4159.42,4156.85,4156.99,1296,18,0,4155.0470000000005,2.70928571428567
1764261000,4156.98,4158.22,4156.35,4158.18,908,18,0,4155.070000000001,2.6378571428570337
1764261300,4158.38,4158.83,4156.74,4157.15,1050,18,0,4155.2395,2.6307142857142156
1764261600,4157.17,4157.39,4152.79,4157.14,1903,18,0,4155.4995,2.6128571428571377
1764261900,4157.19,4158.79,4155.71,4156.41,1409,18,0,4155.818499999999,2.661428571428587
1764262200,4156.4,4156.4,4153.43,4153.78,1896,18,0,4155.961,2.6521428571428
1764262500,4153.78,4156.21,4152.71,4153.04,1710,18,0,4156.029,2.754285714285678
1764262800,4153.08,4156.61,4152.78,4155.5,1242,18,0,4156.189,2.788571428571361
1764263100,4155.49,4157.8,4155.47,4157.48,1347,18,0,4156.4565,2.7942857142856417
1764263400,4157.54,4158.4,4156.68,4157.1,1115,18,0,4156.500999999999,2.7599999999998936
1764263700,4157.13,4159.09,4156.95,4158.73,1104,18,0,4156.614500000001,2.6142857142856104
1764264000,4158.71,4160.53,4157.92,4159.55,1246,18,0,4156.8005,2.697142857142743
1764264300,4159.56,4161.64,4159.32,4160.87,1152,18,0,4157.104,2.73357142857133
1764264600,4160.87,4160.87,4158.91,4159.25,1031,18,0,4157.2875,2.6849999999999454
1764264900,4159.26,4159.94,4158.27,4158.81,920,18,0,4157.4875,2.6207142857141923
1764265200,4158.81,4160.14,4158.41,4159.63,973,18,0,4157.6875,2.610714285714234
1764265500,4159.63,4160.49,4159.43,4160.2,1064,18,0,4157.8135,2.5371428571427583
1764265800,4160.22,4160.66,4158.77,4159.03,1212,18,0,4157.854,2.3435714285712623
1764266100,4159.02,4159.24,4156.84,4157.82,1349,18,0,4157.796,2.294999999999813
1764266400,4157.83,4158.24,4155.96,4156.29,1231,18,0,4157.6475,2.245714285714127
1764266700,4156.26,4156.37,4154.08,4154.27,1381,18,0,4157.5115000000005,2.159285714285553
1764267000,4154.26,4155.81,4153.3,4155.29,1310,18,0,4157.367,2.0649999999998596
1764267300,4155.27,4155.63,4154.12,4155.31,798,18,0,4157.275,2.0064285714284518
1764267600,4155.33,4155.58,4152.56,4153.15,824,18,0,4157.075500000001,2.0992857142856076
1764267900,4153.13,4154.15,4151.23,4154.06,838,18,0,4156.9580000000005,2.1549999999998755
1764268200,4154.05,4155.47,4153.86,4154.47,667,18,0,4156.9925,2.0835714285713687
1764268500,4154.48,4154.88,4153.83,4154.57,309,18,0,4157.0689999999995,1.9928571428570518
1764268800,4154.6,4155.09,4154.36,4154.93,347,18,0,4157.0405,1.9049999999999403
1764269100,4155.05,4156.59,4154.74,4156.42,394,18,0,4156.9875,1.917857142857169
1764269400,4156.41,4157.17,4154.5,4154.66,498,18,0,4156.865500000001,1.9849999999999974
1764269700,4154.63,4157.27,4154.4,4156.09,447,18,0,4156.7335,2.1142857142858054
1764270000,4156.1,4156.98,4155.41,4155.42,321,18,0,4156.527,2.091428571428683
1764270300,4155.43,4155.72,4154.71,4155.69,265,18,0,4156.268,1.9921428571430104
1764270600,4155.7,4155.8,4154.69,4155.13,186,18,0,4156.062,1.9085714285716417
1764270900,4155.09,4155.53,4154.55,4154.55,233,18,0,4155.849,1.8150000000001845
1764271200,4154.55,4155.99,4154.55,4155.12,303,18,0,4155.6235,1.738571428571569
1764271500,4155.13,4156.82,4154.88,4156.43,601,18,0,4155.4349999999995,1.7692857142858105
1764271800,4156.41,4156.99,4156.19,4156.81,465,18,0,4155.324,1.6107142857144285
1764272100,4156.78,4157.59,4156.64,4157.18,595,18,0,4155.292,1.4700000000001248
1764272400,4157.16,4157.76,4156.95,4157.22,426,18,0,4155.3385,1.4128571428572545
1764272700,4157.23,4157.78,4156.89,4157.59,395,18,0,4155.5045,1.4014285714286285
1764273000,4157.6,4158.96,4157.6,4158.3,449,18,0,4155.655000000001,1.4464285714285714
1764273300,4158.33,4158.44,4157.05,4157.59,484,18,0,4155.769,1.413571428571361
1764273600,4157.58,4158.08,4157.27,4157.91,646,18,0,4156.007,1.2807142857141767
1764273900,4157.88,4158.34,4157.63,4157.78,403,18,0,4156.193,1.1264285714284077
1764274200,4157.8,4157.96,4156.17,4156.88,740,18,0,4156.3135,1.1421428571427117
1764274500,4156.88,4157.04,4155.63,4156.0,763,18,0,4156.385,1.1707142857141142
1764274800,4156.0,4157.63,4155.96,4156.03,696,18,0,4156.4400000000005,1.2107142857140778
1764275100,4156.02,4156.29,4155.83,4156.14,522,18,0,4156.426,1.1735714285712544
1764275400,4156.08,4156.74,4156.0,4156.72,457,18,0,4156.529,1.1235714285712675
1764275700,4156.72,4157.29,4156.53,4156.65,470,18,0,4156.557,1.0392857142855974
1764276000,4156.63,4157.65,4156.58,4157.13,395,18,0,4156.6425,1.058571428571278
1764276300,4157.13,4157.5,4157.06,4157.5,482,18,0,4156.733,1.022142857142691
1764276600,4157.5,4159.16,4157.43,4159.09,597,18,0,4156.931,1.0878571428569168
1764276900,4159.06,4159.78,4158.77,4159.1,526,18,0,4157.1585000000005,1.0964285714283375
1764277200,4159.09,4159.73,4158.99,4159.51,696,18,0,4157.378,1.052142857142631
1764277500,4159.51,4160.36,4159.35,4160.2,409,18,0,4157.5665,1.024999999999766
1764277800,4160.21,4160.36,4159.4,4159.63,520,18,0,4157.7075,1.0357142857140909
1764278100,4159.63,4160.07,4159.55,4159.55,152,18,0,4157.826,1.0221428571426259
1764291600,4159.71,4160.17,4158.18,4159.3,193,18,0,4157.929999999999,1.0364285714283272
1764291900,4159.26,4162.28,4159.22,4161.32,188,18,0,4158.1165,1.1542857142854441
1764292200,4161.38,4162.82,4161.16,4162.52,470,18,0,4158.3275,1.1535714285711427
1764292500,4162.52,4162.53,4160.81,4161.58,305,18,0,4158.527,1.2435714285710933
1764292800,4161.65,4162.86,4161.19,4162.26,297,18,0,4158.7445,1.3099999999996856
1764293100,4162.29,4162.84,4162.1,4162.56,163,18,0,4158.9835,1.308571428571083
1764293400,4162.71,4163.11,4161.82,4162.94,357,18,0,4159.2865,1.3242857142853868
1764293700,4163.04,4163.12,4162.47,4162.87,194,18,0,4159.629999999999,1.3392857142853896
1764294000,4162.94,4163.56,4162.12,4162.56,272,18,0,4159.956499999999,1.3185714285711714
1764294300,4162.57,4163.46,4162.19,4163.24,374,18,0,4160.3115,1.3371428571426804
1764294600,4163.23,4163.79,4162.84,4163.34,259,18,0,4160.6425,1.352142857142683
1764294900,4163.33,4163.62,4163.01,4163.23,391,18,0,4160.971500000001,1.3235714285712805
1764295200,4163.25,4165.39,4163.02,4165.37,638,18,0,4161.3835,1.4242857142855558
1764295500,4165.36,4168.45,4165.23,4167.76,587,18,0,4161.8965,1.6171428571427506
1764295800,4167.86,4168.34,4166.5,4167.71,558,18,0,4162.3275,1.606428571428491
1764296100,4167.72,4169.84,4166.94,4167.15,713,18,0,4162.73,1.5949999999999949
1764296400,4167.15,4169.63,4166.52,4169.27,509,18,0,4163.218,1.6985714285714104
1764296700,4169.23,4171.76,4168.54,4170.76,906,18,0,4163.746,1.8057142857143325
1764297000,4170.74,4183.14,4170.4,4180.07,1720,18,0,4164.768,2.5964285714286626
1764297300,4180.14,4182.79,4176.16,4178.69,3038,18,0,4165.725,3.0171428571429715
1764297600,4178.7,4180.59,4177.05,4178.87,1678,18,0,4166.7035000000005,3.177857142857257
1764297900,4178.9,4180.77,4178.31,4179.81,1190,18,0,4167.628,3.307142857143
1764298200,4179.79,4182.49,4178.31,4182.43,1242,18,0,4168.6235,3.5028571428572053
